,,name,start_date_local,type,distance,elapsed_time,moving_time,total_elevation_gain,kudos_count,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,time_of_day,average_split
x,480,S&C,2021-12-10,WeightTraining,0.0,4578.0,4578.0,0.0,3.0,0.0,0.0,115.6,136.0,0.0,06:53:25,
y,284,3x2k,2021-12-10,Rowing,6000.0,1430.7,,,,4.193751311,,,,,,01:59.2
y,351,,2021-12-10,Run,8110.0,2589.0,,,,3.132483584,,,,,,00:00.0
x,481,8+,2021-12-08,Rowing,5659.2,5129.0,3046.0,0.0,7.0,1.858,3.865,124.9,153.0,18.7,14:45:55,
x,482,S&C,2021-12-08,WeightTraining,0.0,3617.0,3617.0,0.0,1.0,0.0,0.0,95.7,149.0,0.0,07:07:45,
x,483,30r20,2021-12-07,Rowing,0.0,1806.0,1806.0,0.0,3.0,0.0,0.0,182.2,193.0,20.3,17:18:57,
x,484,UT2,2021-12-06,Ride,0.0,3602.0,3602.0,0.0,2.0,0.0,0.0,143.4,161.0,0.0,15:43:12,
x,485,S&C,2021-12-06,WeightTraining,0.0,3390.0,3390.0,0.0,2.0,0.0,0.0,111.5,140.0,0.0,06:54:59,
y,359,,2021-12-06,Wattbike,35700.0,3600.0,,,,9.916666667,,,,,,00:00.0
x,486,Bristol Head,2021-12-04,Rowing,4168.0,1199.0,1199.0,3.3,8.0,3.476,3.942,121.9,138.0,26.6,10:46:02,
x,487,Row up,2021-12-04,Rowing,4270.5,1682.0,1639.0,5.2,5.0,2.606,3.49,147.7,173.0,19.3,08:21:25,
x,488,UT2,2021-12-03,Rowing,0.0,3696.0,3696.0,0.0,3.0,0.0,0.0,150.2,159.0,20.4,16:57:33,
x,489,S&C,2021-12-03,WeightTraining,0.0,3904.0,3904.0,0.0,2.0,0.0,0.0,116.2,143.0,0.0,06:57:01,
y,325,UT2,2021-12-03,Rowing,13181.0,3690.0,,,,3.572086721,,,,20.0,,02:16.5
x,490,5k test,2021-12-02,Rowing,0.0,1213.0,1213.0,0.0,6.0,0.0,0.0,184.1,193.0,28.2,17:20:58,
y,258,5k test,2021-12-02,Rowing,5000.0,1203.1,,,,4.155930513,,,,,,02:00.3
x,491,2x,2021-12-01,Rowing,10769.8,4245.0,3807.0,8.5,6.0,2.829,4.065,137.1,163.0,20.6,14:41:27,
x,492,S&C,2021-12-01,WeightTraining,0.0,4196.0,4196.0,0.0,1.0,0.0,0.0,121.9,155.0,0.0,06:58:25,
x,493,5k prep,2021-11-30,Rowing,0.0,1521.0,1521.0,0.0,5.0,0.0,0.0,172.8,190.0,28.6,17:17:04,
x,494,Morning Run,2021-11-30,Run,8026.7,3103.0,2899.0,90.0,9.0,2.769,4.216,147.8,164.0,84.1,07:55:53,
y,290,"3k r28, 2k r30",2021-11-30,Rowing,5000.0,1800.0,,,,2.777777778,,,,,,02:01.4
y,358,,2021-11-30,Run,8030.0,2900.0,,,,2.768965517,,,,,,00:00.0
x,495,UT2,2021-11-29,Rowing,0.0,3602.0,3602.0,0.0,1.0,0.0,0.0,157.7,168.0,20.1,15:54:00,
x,496,S&C,2021-11-29,WeightTraining,0.0,4376.0,4376.0,0.0,2.0,0.0,0.0,120.0,153.0,0.0,07:07:20,
y,324,UT2,2021-11-29,Rowing,13083.0,3690.0,,,,3.545528455,,,,20.0,,02:17.8
x,497,UT2,2021-11-27,Rowing,0.0,3698.0,3698.0,0.0,2.0,0.0,0.0,152.1,161.0,20.2,16:58:24,
y,323,UT2,2021-11-27,Rowing,13166.0,3690.0,,,,3.56802168,,,,20.0,,02:16.7
x,498,3x2k,2021-11-26,Rowing,0.0,2184.0,2184.0,0.0,3.0,0.0,0.0,164.9,192.0,23.6,17:15:44,
x,499,S&C,2021-11-26,WeightTraining,0.0,4957.0,4957.0,0.0,3.0,0.0,0.0,117.2,147.0,0.0,06:56:06,
y,283,3x2k,2021-11-26,Rowing,6000.0,1440.8,,,,4.164353137,,,,,,02:00.0
x,500,12x1’ on 1’ off,2021-11-25,Rowing,0.0,1417.0,1417.0,0.0,0.0,0.0,0.0,165.0,184.0,29.8,18:01:42,
y,267,12x1',2021-11-25,Rowing,3240.0,720.0,,,,4.5,,,,,,01:51.1
x,501,2x,2021-11-24,Rowing,13379.5,5988.0,4886.0,13.1,6.0,2.738,4.443,132.0,162.0,21.4,14:36:15,
x,502,S&C,2021-11-24,WeightTraining,0.0,4059.0,4059.0,0.0,4.0,0.0,0.0,125.5,157.0,0.0,06:56:21,
x,503,30r20,2021-11-23,Rowing,0.0,1822.0,1822.0,0.0,7.0,0.0,0.0,180.9,193.0,20.3,17:18:09,
x,504,Morning Run,2021-11-23,Run,8086.3,2995.0,2937.0,67.0,16.0,2.753,4.116,150.6,164.0,82.8,08:01:25,
y,277,30r20,2021-11-23,Rowing,7131.0,1800.0,,,,3.961666667,,,,20.0,,02:06.2
y,357,,2021-11-23,Run,8100.0,2940.0,,,,2.755102041,,,,,,00:00.0
x,505,UT2,2021-11-22,Rowing,0.0,3698.0,3698.0,0.0,4.0,0.0,0.0,151.5,160.0,20.1,15:10:34,
x,506,S&C,2021-11-22,WeightTraining,0.0,4500.0,4500.0,0.0,3.0,0.0,0.0,130.4,167.0,0.0,06:53:59,
y,322,UT2,2021-11-22,Rowing,13031.0,3690.0,,,,3.531436314,,,,20.0,,02:18.1
x,507,2x,2021-11-21,Rowing,11438.3,4728.0,4222.0,5.2,5.0,2.709,4.243,130.8,154.0,19.5,07:19:10,
x,508,2x,2021-11-20,Rowing,8770.7,3923.0,3395.0,5.2,5.0,2.583,4.113,130.4,154.0,19.0,07:24:01,
x,509,3x1k,2021-11-19,Rowing,0.0,1419.0,1419.0,0.0,4.0,0.0,0.0,160.4,193.0,29.6,17:17:12,
x,510,S&C,2021-11-19,WeightTraining,0.0,4620.0,4620.0,0.0,4.0,0.0,0.0,123.4,167.0,0.0,06:56:16,
y,286,3x1k,2021-11-19,Rowing,3000.0,688.3,,,,4.358564579,,,,,,01:54.7
x,511,10x1’,2021-11-18,Rowing,0.0,1176.0,1176.0,0.0,4.0,0.0,0.0,161.0,178.0,22.8,17:15:17,
y,268,10x1',2021-11-18,Rowing,2595.0,600.0,,,,4.325,,,,,,01:55.6
x,512,2-,2021-11-17,Rowing,11447.4,5985.0,5268.0,0.0,9.0,2.173,6.45,131.4,155.0,20.3,14:46:46,
x,513,S&C,2021-11-17,WeightTraining,0.0,4032.0,4032.0,0.0,4.0,0.0,0.0,127.4,165.0,0.0,06:56:34,
x,514,3x10’,2021-11-16,Rowing,0.0,2050.0,2050.0,0.0,2.0,0.0,0.0,173.5,192.0,20.6,17:34:11,
x,515,UT2,2021-11-16,Rowing,0.0,3696.0,3696.0,0.0,4.0,0.0,0.0,156.8,164.0,20.1,07:10:47,
